Ligands	Receptors	source	Organism	Ligands_bchi	Receptors_bchi	Ligands_atha_symbol	Ligands_atha_description	Receptors_atha_symbol	Receptors_atha_description
AT1G01900	AT2G02220	STRING	Arabidopsis thaliana	Bch10G001120	Bch06G046220	SBTI1.1	subtilase family protein	PSKR1	phytosulfokin receptor 1
AT1G01900	AT3G02130	STRING	Arabidopsis thaliana	Bch10G001120	Bch01G051490	SBTI1.1	subtilase family protein	RPK2	receptor-like protein kinase 2
AT1G01980	AT5G10770	STRING	Arabidopsis thaliana	Bch07G023300	Bch10G030360	AtBBE1	FAD-binding Berberine family protein	None	Eukaryotic aspartyl protease family protein
AT1G02640	AT5G09870	STRING	Arabidopsis thaliana	Bch10G002300	Bch03G004250	BXL2	beta-xylosidase 2	CESA5	cellulose synthase 5
AT1G02640	AT4G13800	STRING	Arabidopsis thaliana	Bch10G002300	Bch04G009670	BXL2	beta-xylosidase 2	ENOR3L3	magnesium transporter NIPA (DUF803)
AT1G02790	AT4G14815	STRING	Arabidopsis thaliana	Bch08G028290	Bch05G029540	PGA4	polygalacturonase 4	LTPG26	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G02790	AT5G49720	STRING	Arabidopsis thaliana	Bch08G028290	Bch03G027930	PGA4	polygalacturonase 4	GH9A1	glycosyl hydrolase 9A1
AT1G02810	AT1G11050	STRING	Arabidopsis thaliana	Bch08G040440	Bch09G069810	PMEI-PME7	Plant invertase/pectin methylesterase inhibitor superfamily	None	Protein kinase superfamily protein
AT1G02810	AT3G54920	STRING	Arabidopsis thaliana	Bch08G040440	Bch07G024440	PMEI-PME7	Plant invertase/pectin methylesterase inhibitor superfamily	PMR6	Pectin lyase-like superfamily protein
AT1G02810	AT5G49770	STRING	Arabidopsis thaliana	Bch08G040440	Bch03G027900	PMEI-PME7	Plant invertase/pectin methylesterase inhibitor superfamily	None	Leucine-rich repeat protein kinase family protein
AT1G02900	AT2G05940	STRING	Arabidopsis thaliana	Bch08G040420	Bch07G008080	RALF1	rapid alkalinization factor 1	RIPK	Protein kinase superfamily protein
AT1G02900	AT3G46290	STRING	Arabidopsis thaliana	Bch08G040420	Bch01G027950	RALF1	rapid alkalinization factor 1	HERK1	hercules receptor kinase 1
AT1G02900	AT5G28680	STRING	Arabidopsis thaliana	Bch08G040420	Bch06G040350	RALF1	rapid alkalinization factor 1	ANX2	Malectin/receptor-like protein kinase family protein
AT1G02900	AT5G54380	STRING	Arabidopsis thaliana	Bch08G040420	Bch10G013820	RALF1	rapid alkalinization factor 1	THE1	protein kinase family protein
AT1G02900	AT3G04690	STRING	Arabidopsis thaliana	Bch08G040420	Bch06G040350	RALF1	rapid alkalinization factor 1	ANX1	Malectin/receptor-like protein kinase family protein
AT1G02900	AT3G51550	STRING	Arabidopsis thaliana	Bch08G040420	Bch01G024400	RALF1	rapid alkalinization factor 1	FER	Malectin/receptor-like protein kinase family protein
AT1G02900	AT1G30570	STRING	Arabidopsis thaliana	Bch08G040420	Bch09G040100	RALF1	rapid alkalinization factor 1	HERK2	hercules receptor kinase 2
AT1G02900	AT4G28280	STRING	Arabidopsis thaliana	Bch08G040420	Bch01G020400	RALF1	rapid alkalinization factor 1	LLG3	LORELEI-LIKE-GPI ANCHORED PROTEIN 3
AT1G02900	AT5G56170	STRING	Arabidopsis thaliana	Bch08G040420	Bch10G015730	RALF1	rapid alkalinization factor 1	LLG1	LORELEI-LIKE-GPI-ANCHORED PROTEIN 1
AT1G02900	AT2G20700	STRING	Arabidopsis thaliana	Bch08G040420	Bch03G058950	RALF1	rapid alkalinization factor 1	LLG2	LORELEI-LIKE-GPI ANCHORED PROTEIN 2
AT1G02900	AT4G26466	STRING	Arabidopsis thaliana	Bch08G040420	Bch03G057710	RALF1	rapid alkalinization factor 1	LRE	lorelei
AT1G04110	AT5G07180	STRING	Arabidopsis thaliana	Bch10G003580	Bch10G032660	SDD1	Subtilase family protein	ERL2	ERECTA-like 2
AT1G04110	AT1G63700	STRING	Arabidopsis thaliana	Bch10G003580	Bch09G016320	SDD1	Subtilase family protein	YDA	Protein kinase superfamily protein
AT1G04110	AT4G20940	STRING	Arabidopsis thaliana	Bch10G003580	Bch08G017900	SDD1	Subtilase family protein	GHR1	Leucine-rich receptor-like protein kinase family protein
AT1G04110	AT1G80080	STRING	Arabidopsis thaliana	Bch10G003580	Bch07G028460	SDD1	Subtilase family protein	TMM	Leucine-rich repeat (LRR) family protein
AT1G04110	AT5G62230	STRING	Arabidopsis thaliana	Bch10G003580	Bch06G030520	SDD1	Subtilase family protein	ERL1	ERECTA-like 1
AT1G05240	AT4G40090	STRING	Arabidopsis thaliana	Bch10G004870	Bch01G001010	PR9	Peroxidase superfamily protein	AGP3	arabinogalactan protein 3
AT1G05250	AT4G40090	STRING	Arabidopsis thaliana	Bch10G004870	Bch01G001010	PRX2	Peroxidase superfamily protein	AGP3	arabinogalactan protein 3
AT1G05850	AT4G32410	STRING	Arabidopsis thaliana	Bch10G005560	Bch03G062410	POM1	Chitinase family protein	CESA1	cellulose synthase 1
AT1G05850	AT3G15380	STRING	Arabidopsis thaliana	Bch10G005560	Bch05G037920	POM1	Chitinase family protein	CHER1	Plasma-membrane choline transporter family protein
AT1G05850	AT5G15630	STRING	Arabidopsis thaliana	Bch10G005560	Bch02G006640	POM1	Chitinase family protein	IRX6	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT1G05850	AT4G12730	STRING	Arabidopsis thaliana	Bch10G005560	Bch01G026370	POM1	Chitinase family protein	FLA2	FASCICLIN-like arabinogalactan 2
AT1G05850	AT5G49720	STRING	Arabidopsis thaliana	Bch10G005560	Bch03G027930	POM1	Chitinase family protein	GH9A1	glycosyl hydrolase 9A1
AT1G05850	AT4G23400	STRING	Arabidopsis thaliana	Bch10G005560	Bch03G055250	POM1	Chitinase family protein	PIP1	plasma membrane intrinsic protein 1
AT1G05850	AT5G60920	STRING	Arabidopsis thaliana	Bch10G005560	Bch03G047540	POM1	Chitinase family protein	COB	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT1G05850	AT2G22125	STRING	Arabidopsis thaliana	Bch10G005560	Bch04G019370	POM1	Chitinase family protein	CSI1	binding protein
AT1G05850	AT5G05170	STRING	Arabidopsis thaliana	Bch10G005560	Bch02G001770	POM1	Chitinase family protein	CEV1	Cellulose synthase family protein
AT1G06225	AT1G75820	STRING	Arabidopsis thaliana	Bch10G005920	Bch07G043650	CLE3	CLAVATA3/ESR-RELATED 3	CLV1	Leucine-rich receptor-like protein kinase family protein
AT1G07230	AT3G15730	STRING	Arabidopsis thaliana	Bch10G006930	Bch05G037470	NPC1	non-specific phospholipase C1	PLDALPHA1	phospholipase D alpha 1
AT1G07230	AT5G64070	STRING	Arabidopsis thaliana	Bch10G006930	Bch06G032670	NPC1	non-specific phospholipase C1	PI-4KBETA1	phosphatidylinositol 4-OH kinase beta1
AT1G07230	AT4G38530	STRING	Arabidopsis thaliana	Bch10G006930	Bch06G051580	NPC1	non-specific phospholipase C1	PLC1	phospholipase C1
AT1G07230	AT5G09350	STRING	Arabidopsis thaliana	Bch10G006930	Bch06G032670	NPC1	non-specific phospholipase C1	PI-4KBETA2	phosphatidylinositol 4-OH kinase beta2
AT1G07230	AT3G47220	STRING	Arabidopsis thaliana	Bch10G006930	Bch10G019140	NPC1	non-specific phospholipase C1	PLC9	phosphatidylinositol-speciwc phospholipase C9
AT1G07230	AT1G55180	STRING	Arabidopsis thaliana	Bch10G006930	Bch06G000610	NPC1	non-specific phospholipase C1	PLDEPSILON	phospholipase D alpha 4
AT1G07230	AT5G58670	STRING	Arabidopsis thaliana	Bch10G006930	Bch10G019100	NPC1	non-specific phospholipase C1	PLC1	phospholipase C1
AT1G07230	AT3G03530	STRING	Arabidopsis thaliana	Bch10G006930	Bch01G050610	NPC1	non-specific phospholipase C1	NPC4	non-specific phospholipase C4
AT1G07230	AT4G35790	STRING	Arabidopsis thaliana	Bch10G006930	Bch01G002950	NPC1	non-specific phospholipase C1	PLDDELTA	phospholipase D delta
AT1G09390	AT5G64080	STRING	Arabidopsis thaliana	Bch06G006820	Bch06G032680	None	GDSL-like Lipase/Acylhydrolase superfamily protein	XYP1	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G11080	AT3G16490	STRING	Arabidopsis thaliana	Bch06G008440	Bch01G041640	scpl31	serine carboxypeptidase-like 31	IQD26	IQ-domain 26
AT1G11080	AT1G09790	STRING	Arabidopsis thaliana	Bch06G008440	Bch06G007210	scpl31	serine carboxypeptidase-like 31	COBL6	COBRA-like protein 6 precursor
AT1G11545	AT4G12730	STRING	Arabidopsis thaliana	Bch06G008850	Bch01G026370	XTH8	xyloglucan endotransglucosylase/hydrolase 8	FLA2	FASCICLIN-like arabinogalactan 2
